,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,503,0,0,0,89.9900005208639,-0.00518698138208335,-0.00505341347505805,90.0099994791361,-0.00518698138208222,0.00505341347505693,0,0,0,1.32355108142073,-0.267327187700582,11.6505901098256,1.32355108142073,-0.267327187700582,11.6505901098256
1,504,0,0,0,89.9906363604968,-0.00318594619604526,-0.0030413041392282,90.0093636395032,-0.00318594619604526,0.0030413041392282,0,0,0,1.49339673053697,-0.303152764353829,11.7096014500124,1.49339673053697,-0.303152764353829,11.7096014500124
2,505,0,0,0,89.9924639188675,-0.00288348657875268,-0.000762274380929479,90.0075360811325,-0.00288348657874931,0.000762274380928355,0,0,0,1.63579904646601,-0.333584009117955,11.7636006827499,1.635799046466,-0.333584009117957,11.7636006827499
3,506,0,0,0,89.99553545188,-0.00259118903609934,0.00148652091481327,90.00446454812,-0.00259118903609822,-0.0014865209148144,0,0,0,1.72640675107369,-0.353473193057701,11.8110981991676,1.7264067510737,-0.353473193057702,11.8110981991676
4,507,0,0,0,89.9991013645683,-0.00235100581306435,0.00394896556603723,90.0008986354317,-0.00235100581306322,-0.00394896556603611,0,0,0,1.75734590855903,-0.361069797843155,11.8529987929407,1.75734590855903,-0.361069797843155,11.8529987929407
5,508,0,0,0,90.001824784475,-0.0030037531799193,0.00580250296365836,89.9981752155249,-0.0030037531799193,-0.00580250296365611,0,0,0,1.74395606230316,-0.359938021321427,11.9074052743866,1.74395606230316,-0.359938021321422,11.9074052743866
6,509,0,0,0,90.0034436914665,-0.00430460616999784,0.00636849938435808,89.9965563085335,-0.00430460616999446,-0.0063684993843592,0,0,0,1.70275722556185,-0.353747692358117,11.9870967413783,1.70275722556185,-0.353747692358114,11.9870967413783
7,510,0,0,0,90.0041236212502,-0.00456869519447391,0.00561042102762297,89.9958763787498,-0.00456869519447391,-0.00561042102762522,0,0,0,1.64608667013714,-0.344337688553799,12.0714079538829,1.64608667013714,-0.344337688553799,12.0714079538829
8,511,0,0,0,90.0041660585145,-0.00342248370642191,0.00442798624139104,89.9958339414855,-0.00342248370641966,-0.00442798624139329,0,0,0,1.58404185802764,-0.333026156962188,12.1333128959158,1.58404185802764,-0.333026156962188,12.1333128959158
9,512,0,0,0,90.0039151264041,-0.00191065450171243,0.00311921343076334,89.9960848735959,-0.00191065450171131,-0.00311921343076221,0,0,0,1.52136908919271,-0.320715761738753,12.1668932618857,1.52136908919271,-0.320715761738748,12.1668932618857
